custateomer,state,gender,education,custateomer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount,vehicle_classs,customer,customer_lifetime_value
,Nevada,M,College,,0,111,0,Personal Auto,SUV,1186,,WH81461,754271.0
,Oregon,M,High School or Below,,26876,76,0,Corporate Auto,Four-Door Car,364,,UD47050,600521.0
,Nevada,M,Bachelor,,71663,74,0,Corporate Auto,Four-Door Car,84,,XZ17273,2099825.0
,California,M,College,,0,69,0,Personal Auto,Four-Door Car,331,,XR97812,234508.0
,California,F,High School or Below,,16994,112,0,Personal Auto,SUV,806,,BW88060,878316.0
,Oregon,M,Bachelor,,64270,117,0,Personal Auto,Luxury,46,,CP32818,452996.0
,Nevada,F,High School or Below,,0,83,0,Corporate Auto,Four-Door Car,597,,CM52565,603322.0
,Oregon,F,Doctor,,0,145,0,Personal Auto,SUV,358,,YP40334,530824.0
,California,M,College,,56342,69,0,Personal Auto,Four-Door Car,331,,KD63998,267473.0
,California,F,High School or Below,,0,70,0,Personal Auto,Four-Door Car,837,,VC77127,492980.0
,California,M,High School or Below,,28327,185,0,Personal Auto,Luxury,888,,AM30008,1413112.0
,Oregon,M,High School or Below,,95697,61,0,Personal Auto,Two-Door Car,114,,PC83755,247152.0
,Arizona,M,High School or Below,,26876,76,0,Personal Auto,Four-Door Car,364,,XS22323,600521.0
,Washington,M,College,,10621,67,0,Personal Auto,Four-Door Car,321,,ST27958,438627.0
,Nevada,F,Bachelor,,0,61,0,Personal Auto,Two-Door Car,657,,BH23017,1911656.0
,California,M,College,,32918,84,0,Personal Auto,Four-Door Car,403,,OD18225,663166.0
,Oregon,F,High School or Below,,0,71,0,Personal Auto,Four-Door Car,447,,VE31507,743229.0
,Nevada,M,High School or Below,,63127,74,1,Personal Auto,Two-Door Car,174,,NR18672,292811.0
,California,M,College,,22022,136,0,Personal Auto,SUV,979,,DM76654,4661187.0
,Oregon,F,High School or Below,,51725,138,1,Personal Auto,SUV,159,,YY11432,1651500.0
,Washington,M,College,,10621,67,0,Special Auto,Four-Door Car,321,,GK67747,438627.0
,Oregon,F,College,,39719,131,0,Personal Auto,Luxury,628,,XA75063,1021356.0
,Nevada,M,College,,58194,84,0,Personal Auto,Four-Door Car,450,,PQ13422,1004928.0
,Oregon,M,College,,61990,72,0,Personal Auto,Four-Door Car,48,,NA89685,574614.0
,Oregon,F,College,,41479,94,1,Personal Auto,Two-Door Car,19,,AL35726,374675.0
,Oregon,F,Bachelor,,97899,95,3,Personal Auto,Four-Door Car,3,,WO70078,748606.0
,Nevada,F,College,,63878,113,0,Personal Auto,SUV,370,,CA56041,912006.0
,Oregon,F,High School or Below,,68671,70,0,Special Auto,Two-Door Car,8,,HI41970,567804.0
,Nevada,F,Bachelor,,0,102,0,Personal Auto,SUV,1178,,AU46443,751708.0
,Oregon,M,College,,34640,117,2,Personal Auto,Luxury,466,,WC35554,453053.0
,California,F,Bachelor,,21959,71,0,Corporate Auto,Four-Door Car,340,,JR10216,269138.0
,Arizona,F,Bachelor,,51584,69,2,Corporate Auto,Two-Door Car,368,,OH11674,806862.0
,Oregon,F,Bachelor,,65744,62,0,Corporate Auto,Four-Door Car,166,,US85318,247857.0
,Arizona,F,Bachelor,,25198,118,0,Personal Auto,SUV,566,,FS19862,911204.0
,Arizona,F,Master,,79663,69,0,Personal Auto,Two-Door Car,263,,ZP80713,277244.0
,Arizona,F,Bachelor,,31071,111,2,Personal Auto,Luxury,215,,OK50159,430579.0
,California,F,Bachelor,,39452,131,0,Corporate Auto,SUV,398,,TP54769,510335.0
,Oregon,F,Bachelor,,25813,61,0,Personal Auto,Four-Door Car,205,,FS49381,478496.0
,Oregon,F,Doctor,,59965,131,0,Personal Auto,SUV,905,,DQ79499,1054110.0
,Washington,M,Bachelor,,40783,67,1,Personal Auto,Four-Door Car,321,,VH31965,528511.0
,Nevada,F,College,,98701,94,0,Personal Auto,Four-Door Car,79,,VO25602,761084.0
,Arizona,F,College,,0,121,0,Personal Auto,Luxury,871,,EP93369,851052.0
,Oregon,F,College,,64388,68,0,Personal Auto,Four-Door Car,12,,DQ45854,1617294.0
,Oregon,M,College,,66841,62,0,Personal Auto,Four-Door Car,123,,QG15661,242549.0
,Oregon,F,High School or Below,,33738,74,1,Corporate Auto,Four-Door Car,304,,YA80645,289931.0
,California,M,Bachelor,,43334,95,2,Corporate Auto,Two-Door Car,614,,TW16499,363305.0
,California,F,College,,0,91,0,Personal Auto,Four-Door Car,245,,UP97629,345715.0
,Nevada,F,College,,83431,84,0,Personal Auto,Four-Door Car,403,,NU42684,339472.0
,Washington,F,College,,54292,67,0,Personal Auto,Four-Door Car,321,,EM85557,802106.0
,Oregon,M,Bachelor,,0,79,0,Personal Auto,Four-Door Car,379,,BM69818,584152.0
,California,M,High School or Below,,38210,69,0,Personal Auto,Four-Door Car,383,,HK15299,547985.0
,Nevada,F,High School or Below,,0,67,0,Personal Auto,Four-Door Car,482,,NP88496,2045524.0
,Oregon,F,Bachelor,,49734,69,0,Corporate Auto,Four-Door Car,154,,SB99002,831912.0
,Washington,F,High School or Below,,50148,65,0,Corporate Auto,Four-Door Car,323,,ZH42145,258286.0
,Oregon,M,College,,11689,117,0,Corporate Auto,SUV,561,,JG30837,416379.0
,Arizona,F,High School or Below,,17120,125,0,Special Auto,SUV,717,,AC22873,485310.0
,Oregon,M,High School or Below,,82157,188,0,Corporate Auto,Luxury,1353,,RO85831,753169.0
,Washington,F,Bachelor,,21603,68,2,Personal Auto,Four-Door Car,326,,NN65845,258593.0
,Washington,F,Bachelor,,25544,68,0,Personal Auto,Four-Door Car,326,,RZ27571,269596.0
,California,M,High School or Below,,98121,67,0,Personal Auto,Two-Door Car,383,,GH31557,268458.0
,Washington,F,High School or Below,,32314,68,0,Personal Auto,Four-Door Car,326,,MK73855,810936.0
,Oregon,F,College,,89382,112,0,Corporate Auto,Four-Door Car,573,,IO27771,903665.0
,Arizona,F,High School or Below,,97742,132,0,Corporate Auto,SUV,199,,HB99061,535218.0
,Arizona,F,High School or Below,,0,114,0,Personal Auto,Four-Door Car,820,,HQ82089,1188096.0
,Oregon,M,College,,0,73,0,Corporate Auto,Four-Door Car,525,,JN72184,255709.0
,California,F,College,,77153,99,1,Personal Auto,Four-Door Car,355,,WQ46946,791482.0
,California,M,Master,,94590,81,0,Personal Auto,Two-Door Car,388,,WJ44028,984008.0
,Arizona,F,High School or Below,,74163,108,0,Personal Auto,Four-Door Car,518,,WH77063,435155.0
,Oregon,F,High School or Below,,40450,287,3,Personal Auto,Luxury,1377,,FI13966,2220782.0
,Oregon,M,High School or Below,,0,71,0,Personal Auto,Two-Door Car,511,,AQ46199,482525.0
,Arizona,F,High School or Below,,0,99,0,Corporate Auto,Two-Door Car,475,,WV69362,694783.0
,California,F,College,,33243,85,0,Personal Auto,Four-Door Car,24,,RJ90816,334480.0
,Arizona,M,Master,,0,64,0,Personal Auto,Four-Door Car,199,,NH19236,235750.0
,Oregon,M,High School or Below,,0,114,0,Corporate Auto,Four-Door Car,820,,VW88911,3594471.0
,Nevada,M,High School or Below,,20228,101,1,Personal Auto,SUV,523,,NV14535,1040896.0
,Arizona,F,High School or Below,,92801,100,0,Personal Auto,SUV,407,,BM66931,404816.0
,Oregon,M,College,,0,69,1,Personal Auto,Four-Door Car,406,,JW24035,685200.0
,California,M,College,,36845,74,0,Personal Auto,Four-Door Car,355,,PG82270,290302.0
,California,F,College,,0,63,0,Personal Auto,Four-Door Car,503,,RW65101,1803911.0
,California,F,Master,,72330,81,2,Personal Auto,Four-Door Car,126,,QO79771,324204.0
,Nevada,F,Bachelor,,19352,65,0,Personal Auto,Four-Door Car,724,,EC44438,246762.0
,Arizona,M,College,,0,62,5,Personal Auto,Four-Door Car,297,,MW54213,567438.0
,Arizona,F,College,,25073,79,0,Personal Auto,Four-Door Car,379,,ZN33412,863435.0
,Oregon,F,High School or Below,,20261,72,0,Personal Auto,Four-Door Car,345,,HZ56678,278019.0
,Oregon,M,Master,,66851,92,2,Personal Auto,Four-Door Car,408,,AN36757,2205600.0
,Arizona,F,High School or Below,,43860,65,0,Corporate Auto,Four-Door Car,156,,NB54665,251459.0
,Oregon,M,College,,0,180,0,Corporate Auto,Luxury,1777,,MG99229,588622.0
,California,F,Doctor,,48019,64,0,Corporate Auto,Four-Door Car,137,,MX76292,770603.0
,California,M,College,,28786,71,1,Personal Auto,Four-Door Car,345,,EJ90880,279045.0
,California,F,High School or Below,,22283,65,0,Corporate Auto,Four-Door Car,572,,WO95180,239703.0
,Arizona,F,Bachelor,,34133,111,0,Personal Auto,SUV,226,,BU53191,883432.0
,Arizona,M,Master,,60880,119,0,Personal Auto,Two-Door Car,109,,ZK54897,1443567.0
,California,F,Bachelor,,0,196,2,Personal Auto,Luxury,940,,PP48389,687196.0
,Oregon,M,High School or Below,,48115,192,0,Personal Auto,Luxury,1382,,XD29421,1536235.0
,California,F,College,,32017,62,2,Personal Auto,Four-Door Car,297,,OP26403,483479.0
,Oregon,F,High School or Below,,58518,136,0,Personal Auto,SUV,323,,XK15687,1089930.0
,California,M,Bachelor,,61542,67,0,Personal Auto,Four-Door Car,321,,ED29955,528404.0
,Oregon,F,Bachelor,,56761,73,1,Corporate Auto,Two-Door Car,85,,QT84720,289172.0
,California,M,College,,22976,66,0,Personal Auto,Four-Door Car,345,,ZH35315,490054.0
,Nevada,F,High School or Below,,0,72,0,Personal Auto,Four-Door Car,709,,EE76374,2084259.0
,Washington,M,College,,70301,67,0,Personal Auto,Four-Door Car,328,,SH51981,524605.0
,Arizona,M,Bachelor,,0,66,0,Personal Auto,Four-Door Car,315,,BS13111,663083.0
,Arizona,M,Bachelor,,44428,104,0,Personal Auto,SUV,499,,JP12645,1203662.0
,Nevada,M,Bachelor,,52361,102,0,Personal Auto,Four-Door Car,645,,ZF28570,389503.0
,California,M,College,,32435,297,0,Personal Auto,Luxury,1767,,UU93074,1170106.0
,California,M,High School or Below,,40272,86,0,Personal Auto,Two-Door Car,23,,SZ60450,341910.0
,Arizona,M,Master,,30492,61,0,Personal Auto,Four-Door Car,171,,HL63895,730277.0
,Arizona,M,High School or Below,,51524,244,0,Personal Auto,Luxury,1171,,UD27196,1968540.0
,Arizona,M,College,,36635,63,0,Corporate Auto,Four-Door Car,302,,OU53351,248606.0
,Arizona,F,Bachelor,,83389,65,0,Corporate Auto,Two-Door Car,209,,SX50964,522432.0
,Oregon,F,Bachelor,,63035,153,0,Personal Auto,SUV,734,,RP30093,4922143.0
,California,M,Bachelor,,61638,82,2,Corporate Auto,Four-Door Car,544,,BK73302,316788.0
,Arizona,F,College,,21073,106,1,Personal Auto,SUV,508,,CS93971,780531.0
,California,F,College,,0,68,3,Personal Auto,Four-Door Car,326,,RG13940,1319792.0
,Oregon,M,Bachelor,,0,82,0,Personal Auto,Two-Door Car,192,,ZG94155,623430.0
,Arizona,M,College,,0,74,0,Personal Auto,Four-Door Car,532,,QN15356,753960.0
,Nevada,M,High School or Below,,86811,102,0,Corporate Auto,Four-Door Car,489,,MZ16820,815793.0
,Oregon,M,High School or Below,,72517,82,0,Personal Auto,Two-Door Car,371,,DO98345,1315674.0
,Washington,F,High School or Below,,25965,5353,0,Personal Auto,Four-Door Car,329,,PA48777,249125.0
,Oregon,F,Doctor,,84424,66,0,Personal Auto,Four-Door Car,231,,UK76814,533938.0
,California,F,College,,43383,109,0,Personal Auto,SUV,757,,SR30440,864917.0
,Oregon,M,High School or Below,,96306,95,1,Special Auto,Four-Door Car,185,,XE66367,751913.0
,California,F,College,,0,61,0,Corporate Auto,Two-Door Car,292,,SZ70655,429300.0
,Washington,F,High School or Below,,0,69,0,Personal Auto,Four-Door Car,331,,UV54502,253774.0
,Arizona,F,College,,94125,109,0,Personal Auto,SUV,341,,DK98861,1316033.0
,Oregon,M,College,,39778,112,0,Personal Auto,SUV,806,,JX14364,1323554.0
,Oregon,F,High School or Below,,0,101,0,Personal Auto,SUV,727,,LI85491,374457.0
,Oregon,F,College,,91871,102,0,Personal Auto,SUV,346,,JY87538,2848607.0
,Nevada,M,Bachelor,,54000,66,0,Corporate Auto,Two-Door Car,373,,VE55982,264468.0
,Oregon,M,Doctor,,57709,125,0,Personal Auto,SUV,600,,WK99918,507328.0
,Arizona,F,High School or Below,,81132,107,0,Corporate Auto,SUV,419,,XP16538,427258.0
,California,M,College,,22926,93,0,Corporate Auto,Four-Door Car,479,,HW42900,1100301.0
,Arizona,F,College,,0,72,2,Personal Auto,Four-Door Car,345,,JG84729,1418164.0
,Washington,M,Bachelor,,67798,69,0,Personal Auto,Four-Door Car,331,,XH85336,554803.0
,Oregon,M,Bachelor,,78011,138,0,Personal Auto,SUV,619,,ND29059,1107768.0
,Oregon,M,College,,32931,62,0,Personal Auto,Four-Door Car,297,,HC76653,243568.0
,California,F,Bachelor,,99517,109,0,Personal Auto,Four-Door Car,239,,SG73822,874385.0
,Arizona,M,Bachelor,,59665,62,1,Personal Auto,Two-Door Car,167,,CB44654,240976.0
,Washington,F,High School or Below,,86073,136,0,Corporate Auto,Luxury,333,,MP53505,550001.0
,Arizona,F,High School or Below,,91099,107,0,Corporate Auto,SUV,406,,YJ43481,852828.0
,Oregon,M,College,,28013,91,0,Personal Auto,Four-Door Car,655,,TP15362,359199.0
,Nevada,F,High School or Below,,55478,71,0,Personal Auto,Two-Door Car,339,,YX90754,853982.0
,Nevada,F,College,,22568,88,0,Corporate Auto,Four-Door Car,422,,TQ32702,699091.0
,California,F,High School or Below,,0,112,0,Personal Auto,SUV,806,,TS50305,397938.0
,Arizona,M,High School or Below,,39335,201,0,Corporate Auto,Luxury,964,,BY22068,2395037.0
,Oregon,F,College,,0,66,0,Personal Auto,Two-Door Car,508,,TJ48439,232105.0
,Oregon,M,College,,0,72,0,Personal Auto,Four-Door Car,345,,TE61015,508702.0
,Oregon,M,College,,58842,110,0,Personal Auto,Four-Door Car,528,,RD89159,436293.0
,Oregon,F,Bachelor,,0,69,0,Personal Auto,Four-Door Car,678,,VW86720,745746.0
,Oregon,M,College,,0,102,0,Personal Auto,SUV,489,,UM76485,702775.0
,Oregon,F,Bachelor,,70037,70,0,Personal Auto,Four-Door Car,409,,LS62045,283168.0
,Nevada,M,High School or Below,,0,62,0,Personal Auto,Two-Door Car,446,,ZG84862,421785.0
,Nevada,M,College,,59847,192,0,Corporate Auto,Luxury,921,,CD76093,759629.0
,California,M,Bachelor,,26630,118,0,Personal Auto,Four-Door Car,581,,FO99259,836567.0
,Oregon,F,High School or Below,,48039,68,0,Personal Auto,Four-Door Car,11,,KN87338,272639.0
,California,M,High School or Below,,0,92,0,Personal Auto,Four-Door Car,441,,LT89398,342045.0
,Arizona,M,High School or Below,,0,137,0,Personal Auto,SUV,1227,,NZ19529,483910.0
,Arizona,F,Bachelor,,0,118,0,Corporate Auto,Luxury,101,,PR41853,435855.0
,Washington,F,Master,,15818,107,0,Personal Auto,Two-Door Car,333,,ZF40671,1242739.0
,Oregon,F,Doctor,,36537,85,0,Personal Auto,Four-Door Car,165,,XR84971,2351585.0
,Arizona,F,Master,,0,115,1,Personal Auto,SUV,552,,BP83941,839632.0
,Arizona,M,High School or Below,,53603,132,1,Personal Auto,Luxury,697,,PY80449,517097.0
,Nevada,M,Doctor,,0,80,0,Corporate Auto,Four-Door Car,6,,ET22260,558530.0
,California,F,Doctor,,92374,107,1,Personal Auto,SUV,220,,OF47250,863949.0
,California,M,High School or Below,,39658,66,0,Corporate Auto,Four-Door Car,316,,WB58031,528183.0
,Oregon,F,Bachelor,,0,116,0,Personal Auto,Luxury,556,,UV80201,838525.0
,Arizona,M,Bachelor,,0,70,0,Personal Auto,Two-Door Car,336,,PY10605,463310.0
,California,F,High School or Below,,0,65,0,Personal Auto,Four-Door Car,328,,JI82682,248039.0
,Arizona,M,High School or Below,,50755,91,0,Personal Auto,Two-Door Car,436,,BU14748,361868.0
,Washington,F,College,,69050,67,0,Personal Auto,Four-Door Car,334,,QK18099,537584.0
,Oregon,M,Bachelor,,0,73,0,Corporate Auto,Four-Door Car,680,,LD26428,489329.0
,California,M,High School or Below,,50607,137,0,Personal Auto,SUV,657,,MY43761,1073768.0
,Washington,F,College,,0,70,1,Special Auto,Two-Door Car,336,,WQ89892,260781.0
,Nevada,F,Bachelor,,0,149,0,Corporate Auto,SUV,1072,,GY55415,1572525.0
,Nevada,M,College,,0,146,0,Corporate Auto,SUV,1051,,IB42395,955341.0
,Oregon,M,College,,60920,64,0,Personal Auto,Two-Door Car,231,,ZU74482,750745.0
,California,F,Bachelor,,0,105,0,Special Auto,Two-Door Car,504,,NL74789,732492.0
,Oregon,M,High School or Below,,55674,66,0,Personal Auto,Four-Door Car,81,,YU86594,533303.0
,California,M,College,,0,189,0,Corporate Auto,Luxury,2201,,QN37451,1276723.0
,Washington,M,Bachelor,,24495,70,0,Personal Auto,Four-Door Car,336,,GD83998,265933.0
,Oregon,F,College,,42983,86,0,Personal Auto,Four-Door Car,412,,IL83479,348363.0
,Arizona,M,College,,26802,66,1,Special Auto,Two-Door Car,316,,EF87528,463654.0
,California,M,Doctor,,0,97,0,Corporate Auto,Four-Door Car,469,,IV74747,1753003.0
,Oregon,M,High School or Below,,53808,88,0,Personal Auto,Four-Door Car,189,,JZ81608,697871.0
,Arizona,F,College,,93403,73,0,Personal Auto,Four-Door Car,295,,EO40136,291224.0
,Oregon,F,Bachelor,,26435,111,1,Corporate Auto,Four-Door Car,1012,,ZR40902,420927.0
,Oregon,F,Bachelor,,0,68,0,Personal Auto,Four-Door Car,326,,PO89542,500980.0
,California,F,Bachelor,,39854,66,0,Personal Auto,Two-Door Car,261,,FX57380,521751.0
,Oregon,M,College,,0,161,0,Personal Auto,SUV,1052,,NM22175,1149033.0
,Nevada,F,Master,,91368,71,0,Personal Auto,Four-Door Car,395,,BC97773,286454.0
,Arizona,M,Bachelor,,0,115,0,Personal Auto,SUV,552,,MN34012,840391.0
,California,F,College,,92850,104,1,Personal Auto,Four-Door Car,499,,KY29506,2039596.0
,Washington,F,Bachelor,,0,70,0,Personal Auto,Two-Door Car,336,,VU84949,529263.0
,Arizona,M,Bachelor,,30915,72,2,Personal Auto,Four-Door Car,345,,HC20975,1672777.0
,Arizona,F,Master,,48927,72,0,Personal Auto,Four-Door Car,139,,IF87079,580112.0
,Oregon,F,Bachelor,,0,86,0,Personal Auto,Four-Door Car,412,,EP18940,947297.0
,Arizona,F,College,,61108,89,0,Personal Auto,Four-Door Car,49,,SB44003,1048491.0
,Nevada,M,Master,,48015,110,0,Corporate Auto,Luxury,528,,MK15785,438731.0
,Arizona,M,College,,0,61,0,Personal Auto,Four-Door Car,292,,VP89545,452288.0
,Nevada,F,College,,57587,68,0,Personal Auto,Four-Door Car,257,,HJ58678,541815.0
,Washington,M,Master,,0,70,0,Personal Auto,Four-Door Car,336,,MW80236,562705.0
,Arizona,F,College,,81119,196,0,Corporate Auto,SUV,940,,IA52178,1578529.0
,California,F,Bachelor,,65724,70,0,Personal Auto,Four-Door Car,14,,WC42895,2211039.0
,Washington,M,High School or Below,,20128,70,2,Personal Auto,Four-Door Car,336,,JP41935,1359619.0
,Oregon,M,High School or Below,,56146,119,0,Corporate Auto,Four-Door Car,401,,YM77369,475612.0
,California,M,Bachelor,,84658,62,0,Personal Auto,Four-Door Car,44,,WV15213,244705.0
,Nevada,F,College,,33257,72,1,Personal Auto,Four-Door Car,345,,GX37592,567592.0
,Washington,F,College,,0,101,0,Personal Auto,SUV,337,,VM34210,739903.0
,Oregon,M,College,,31115,92,0,Personal Auto,Four-Door Car,441,,YJ59924,730843.0
,Oregon,F,College,,78487,117,0,Personal Auto,SUV,448,,OO35641,3287174.0
,Oregon,M,Bachelor,,92472,65,0,Corporate Auto,Four-Door Car,240,,EU54076,522892.0
,Arizona,M,High School or Below,,0,64,0,Personal Auto,Four-Door Car,460,,QH56750,2070086.0
,Washington,M,Master,,71737,79,0,Personal Auto,Two-Door Car,338,,PQ27923,633303.0
,California,M,College,,60475,107,0,Personal Auto,Four-Door Car,513,,ES16126,433038.0
,Arizona,F,Bachelor,,26577,79,0,Personal Auto,Four-Door Car,73,,PG42834,629273.0
,Arizona,M,High School or Below,,0,71,0,Personal Auto,Two-Door Car,511,,OY44814,491788.0
,California,M,High School or Below,,43461,64,0,Personal Auto,Two-Door Car,307,,JI97190,516581.0
,Oregon,M,High School or Below,,0,94,0,Personal Auto,Two-Door Car,676,,ZK61113,629159.0
,Oregon,F,Master,,69085,113,0,Corporate Auto,Luxury,472,,MU88116,458267.0
,California,M,High School or Below,,0,84,0,Personal Auto,Four-Door Car,604,,TP61305,606244.0
,Washington,M,High School or Below,,0,71,0,Personal Auto,Two-Door Car,340,,ZY20779,497907.0
,California,F,College,,0,77,0,Corporate Auto,Four-Door Car,783,,KP65334,583056.0
,California,M,High School or Below,,0,110,1,Personal Auto,Luxury,1272,,OH15677,374257.0
,Oregon,F,High School or Below,,0,106,0,Personal Auto,Luxury,763,,HB53755,384959.0
,Arizona,F,High School or Below,,58361,95,0,Personal Auto,Four-Door Car,43,,UF77079,1526581.0
,Arizona,M,College,,74092,67,0,Personal Auto,Four-Door Car,321,,TD20252,531780.0
,California,F,College,,0,64,0,Corporate Auto,Four-Door Car,380,,TH68362,237480.0
,Washington,M,College,,59768,71,1,Personal Auto,Four-Door Car,340,,TO34442,553286.0
,Washington,M,Master,,54585,7575,1,Personal Auto,Two-Door Car,340,,MP96373,571978.0
,Oregon,F,High School or Below,,0,125,0,Corporate Auto,SUV,900,,CV72453,451220.0
,California,F,Bachelor,,12075,94,0,Personal Auto,Four-Door Car,451,,OY92520,726480.0
,California,M,College,,62464,109,0,Personal Auto,Luxury,400,,UY95530,865886.0
,Oregon,M,College,,22520,73,0,Personal Auto,Four-Door Car,350,,FB84235,549894.0
,Arizona,F,High School or Below,,35012,72,0,Personal Auto,Four-Door Car,345,,MJ14480,559938.0
,Arizona,F,College,,95140,126,0,Personal Auto,Luxury,45,,KW81128,1522819.0
,Nevada,F,High School or Below,,82477,90,0,Corporate Auto,Two-Door Car,432,,DQ98402,364483.0
,California,M,Master,,85871,92,1,Personal Auto,Four-Door Car,112,,WN53966,369344.0
,Washington,F,High School or Below,,75264,78,0,Personal Auto,Four-Door Car,343,,QK69627,938816.0
,Washington,M,High School or Below,,83170,97,0,Personal Auto,Four-Door Car,344,,QC55306,3116269.0
,California,M,High School or Below,,24314,235,0,Personal Auto,Luxury,1128,,WV79842,928373.0
,Oregon,M,Master,,79751,63,0,Corporate Auto,Two-Door Car,392,,DF40318,255122.0
,Nevada,M,High School or Below,,83318,72,0,Corporate Auto,Four-Door Car,345,,TN90661,581191.0
,Oregon,F,Master,,26161,109,0,Personal Auto,Luxury,594,,ZU88029,406467.0
,California,F,Bachelor,,30473,72,0,Corporate Auto,Four-Door Car,450,,TQ88221,284144.0
,Nevada,M,College,,50472,87,0,Corporate Auto,Four-Door Car,281,,KH34667,683213.0
,Nevada,M,Master,,94186,64,0,Personal Auto,Four-Door Car,135,,HW54198,520197.0
,Arizona,M,High School or Below,,47611,69,0,Corporate Auto,Four-Door Car,593,,GZ79662,548458.0
,California,M,High School or Below,,0,103,0,Personal Auto,Four-Door Car,518,,YA11342,767268.0
,Oregon,M,High School or Below,,91245,69,0,Corporate Auto,Four-Door Car,19,,ZW18871,827248.0
,Arizona,F,High School or Below,,45944,83,0,Personal Auto,Two-Door Car,182,,QZ17137,333067.0
,California,F,College,,59649,69,1,Personal Auto,Four-Door Car,167,,UV53712,556245.0
,Oregon,F,Bachelor,,52785,61,0,Corporate Auto,Two-Door Car,45,,SJ43436,245273.0
,Oregon,F,High School or Below,,59648,66,0,Personal Auto,Four-Door Car,316,,VW46878,792028.0
,Oregon,F,College,,93272,95,0,Corporate Auto,Four-Door Car,281,,TW91179,386148.0
,Arizona,M,Bachelor,,22134,72,0,Corporate Auto,Four-Door Car,445,,LG19551,576478.0
,Washington,F,High School or Below,,0,72,0,Personal Auto,Four-Door Car,345,,AI49712,259389.0
,Arizona,M,Master,,87798,71,0,Personal Auto,Two-Door Car,204,,WN14473,288235.0
,California,M,Bachelor,,0,63,0,Personal Auto,Four-Door Car,305,,WH62198,221318.0
,California,F,Master,,43811,117,0,Personal Auto,Luxury,571,,SP85148,942962.0
,California,F,College,,0,91,0,Corporate Auto,Two-Door Car,655,,FB49203,623925.0
,Nevada,F,Bachelor,,92456,95,0,Special Auto,Four-Door Car,456,,FF94341,766880.0
,California,F,High School or Below,,59207,116,0,Personal Auto,Four-Door Car,556,,TS42594,1377097.0
,California,F,High School or Below,,64519,69,1,Corporate Auto,Four-Door Car,331,,IL43607,274284.0
,Oregon,F,High School or Below,,11432,119,0,Personal Auto,SUV,571,,FL85008,1346692.0
,Nevada,F,College,,0,80,0,Personal Auto,Two-Door Car,81,,AN47199,885835.0
,California,M,High School or Below,,32607,111,1,Corporate Auto,SUV,532,,SV28347,848533.0
,Arizona,F,High School or Below,,26444,196,0,Personal Auto,Luxury,940,,IC78105,774464.0
,Oregon,F,High School or Below,,39381,74,1,Personal Auto,Four-Door Car,355,,RB28630,589490.0
,Nevada,M,College,,0,83,0,Personal Auto,Four-Door Car,946,,KA32645,577068.0
,Oregon,M,High School or Below,,90217,66,1,Personal Auto,Four-Door Car,316,,QD73891,526111.0
,Oregon,M,High School or Below,,24248,70,3,Personal Auto,Four-Door Car,336,,LM58949,240353.0
,Arizona,M,Bachelor,,99368,113,0,Personal Auto,Four-Door Car,82,,YG40323,912460.0
,Arizona,F,High School or Below,,68189,82,1,Special Auto,Four-Door Car,343,,EP82214,2618080.0
,Nevada,F,Master,,32370,130,0,Corporate Auto,SUV,487,,EO91797,1564125.0
,Arizona,F,Master,,34990,65,0,Personal Auto,Four-Door Car,42,,RU50098,257402.0
,California,F,High School or Below,,25714,67,0,Personal Auto,Two-Door Car,321,,QW10541,531983.0
,Oregon,M,College,,61091,95,0,Personal Auto,Two-Door Car,409,,SB50826,749600.0
,Arizona,M,College,,88184,104,3,Personal Auto,Four-Door Car,240,,XX29952,1217458.0
,California,F,College,,60252,65,0,Personal Auto,Four-Door Car,182,,AT93647,260557.0
,Oregon,M,College,,80985,67,0,Personal Auto,Four-Door Car,124,,QP56563,270720.0
,Washington,F,College,,39783,72,0,Personal Auto,Two-Door Car,345,,UF88986,279490.0
,California,M,High School or Below,,99845,110,1,Personal Auto,SUV,528,,TY43440,881901.0
,Washington,F,Bachelor,,0,72,0,Personal Auto,Four-Door Car,345,,NJ15094,534599.0
,Oregon,F,College,,40803,71,3,Personal Auto,Four-Door Car,122,,MM45334,816951.0
,Oregon,F,College,,71134,98,3,Personal Auto,Two-Door Car,196,,KH93988,770888.0
,Arizona,M,Bachelor,,36088,72,0,Personal Auto,Four-Door Car,345,,RY38931,552821.0
,Nevada,M,College,,29431,103,0,Personal Auto,SUV,237,,CV48634,1212844.0
,Washington,M,Bachelor,,36088,72,0,Personal Auto,Four-Door Car,345,,TN76120,552821.0
,Oregon,M,College,,17937,65,0,Personal Auto,Two-Door Car,312,,ZS96174,679684.0
,Arizona,F,Bachelor,,23376,78,0,Personal Auto,Four-Door Car,374,,MI62456,286731.0
,California,F,Doctor,,21986,63,0,Personal Auto,Two-Door Car,333,,DD44177,239557.0
,Arizona,F,Bachelor,,23032,89,0,Corporate Auto,Four-Door Car,427,,NX31380,709416.0
,Oregon,F,College,,32114,104,0,Corporate Auto,SUV,445,,KQ43374,412809.0
,California,M,Bachelor,,13330,117,0,Corporate Auto,SUV,561,,XA54112,404693.0
,California,F,College,,44934,61,0,Personal Auto,Four-Door Car,357,,QB14087,486928.0
,Oregon,F,College,,96137,73,2,Corporate Auto,Two-Door Car,67,,FV42881,290215.0
